ID;BirthDate;FirstName;LastName;gender;student-ID;EmailAddress;AddressLine1;Housenr;City;PostalCode;;PhoneNumber;Verwandschaftsgrad;Notfallkontakt
1;01.10.1986;Tsvi;Reiter;2;1;tsvi0@adventure-works.com;1010 Maple;1;Baltimore;21201;;664-555-0112;2;1
2;17.09.1968;Jillian;Carson;1;1;jillian0@adventure-works.com;1078 Aloe Vera Road;2;Beaverton;97005;;517-555-0117;3;0
3;09.03.1979;Roberta;Rounthwaite;2;2;robert0@adventure-works.com;1094 Loveridge Circle;3;Beaverton;97005;;589-555-0147;1;1
4;22.12.1987;Dan;Bacon;1;2;dan0@adventure-works.com;1095 Loveridge Circle;3;Beaverton;97005;;166-555-0159;2;1
5;28.04.1980;Erica;Kurjan;1;3;eric2@adventure-works.com;1006 Deercreek Ln;4;Bellingham;90706;;265-555-0195;2;0
6;06.07.1979;Kevin;Kurjan;2;3;kevin1@adventure-works.com;1007 Deercreek Ln;4;Bellingham;90706;;714-555-0138;1;1
7;08.01.1989;Christian;Kleinerman;1;3;christian0@adventure-works.com;105 Woodruff Ln.;5;Bellingham;98225;;846-555-0157;4;0
8;15.04.1989;Dona;Lee;2;4;don0@adventure-works.com;1057 Kirker Pass Road;6;Bellingham;98225;;100-555-0174;1;1
9;30.01.1976;Frank;Lee;1;4;frank0@adventure-works.com;1057 Kirker Pass Road;6;Bellingham;98225;;158-555-0191;2;0
10;24.05.1990;Steve;Johnson;1;5;steve0@adventure-works.com;1002 N. Spoonwood Court;78;Bendigo;94704;;712-555-0170;2;0
11;23.12.1973;David;Johnson;1;5;david1@adventure-works.com;1002 N. Spoonwood Court;78;Bendigo;94704;;166-555-0162;2;1
12;25.02.1978;Erina;Hagens;2;5;erin0@adventure-works.com;1011 Yolanda Circle;9;Berkeley;94704;;842-555-0158;1;1
13;06.06.1987;Yuhong;Rothkugel;1;6;yuhong0@adventure-works.com;1019 Carletto Drive;55;Berkeley;94704;;965-555-0155;2;1
14;02.09.1971;Michaela;Rothkugel;2;6;michael1@adventure-works.com;1019 Carletto Drive;55;Berkeley;94704;;454-555-0119;1;0
